_time;Cantidad;Material_Descripcion;Material_ItemLargo;Orden;Proceso;Unidad;Unidad_qc;Material_Descripcion_qc;Orden_qc;Material_ItemLargo_qc;Cantidad_qc;Proceso_qc
2024-07-05T00:16:53.107Z;3.175;FLEX.BOB BLANCO 15GR P.JUST-CG;60100641300;48887092;scrap;kg;1;1;1;1;1;1
2024-07-05T00:18:05.473Z;25.36;BOM. BOB BLANCO 15G DESENV;50200316861;48887092;decomiso;kg;1;1;1;1;1;1
2024-07-05T01:58:19.342Z;106.3;BOM. BOB LECHE 15G DESENV;9705;48040096;reproceso;kg;1;1;1;1;1;1
2024-07-05T03:51:02.188Z;508;BOM. BOB LECHE 15G DESENV;9705;48040096;reproceso;kg;1;1;1;1;1;1
2024-07-05T06:40:47.412Z;264;RELLENO  SUAVE  B-O-B JAPON;9706;48361049;reproceso;kg;1;1;1;1;1;1
2024-07-05T07:18:06.411Z;670;RELLENO  SUAVE  B-O-B JAPON;9706;48361049;reproceso;kg;1;1;1;1;1;1
2024-07-05T08:18:34.818Z;15.48;BOM BOB CHOCOLINAS 15G DESENV;50200316456;48159755;decomiso;kg;1;1;1;1;1;1
2024-07-05T08:19:28.373Z;1.325;FLE BOB CHOCOLINA 15G-P.JUS-CG;60100641308;48159755;scrap;kg;1;1;1;1;1;1
2024-07-05T16:25:49.619Z;4.2;FLE BOB CHOCOLINA 15G-P.JUS-CG;60100641308;48159755;scrap;kg;1;1;1;1;1;1
2024-07-05T16:28:09.022Z;31.39;BOM BOB CHOCOLINAS 15G DESENV;50200316456;48159755;decomiso;kg;1;1;1;1;1;1
2024-07-05T16:31:40.821Z;3.41;BOM BOB CHOCOLINAS 15G DESENV;50200316456;48159755;decomiso;kg;1;1;1;1;1;1
2024-07-05T17:19:35.813Z;0;PLANT BOB CHOCOLINAS 18X15G-19;61200208818;48159755;scrap;kg;1;1;1;1;1;1
2024-07-05T17:32:56.203Z;366;BOB 15G CHOCOLINAS TROQUEL;402382;48159755;reproceso;kg;1;1;1;1;1;1
2024-07-05T23:56:53.630Z;0;DISP BOB CHOCOLINAS 270G PERU;61200209287;48454559;scrap;kg;1;1;1;1;1;1
2024-07-06T00:29:13.086Z;2.225;FLEX BB BOB CHOCOLINAS 15 GR;60100644549;48406280;scrap;kg;1;1;1;1;1;1
2024-07-06T00:30:13.071Z;23.48;BOM BOB CHOCOLINAS 15G DESENV;50200316456;48406280;decomiso;kg;1;1;1;1;1;1
2024-07-06T08:15:57.133Z;0;DISP BB BOB CHOCOLINAS 270 GR;61200210394;48406280;scrap;kg;1;1;1;1;1;1
2024-07-06T08:19:40.933Z;18.825;BOM BOB CHOCOLINAS 15G DESENV;50200316456;48406280;decomiso;kg;1;1;1;1;1;1
2024-07-06T08:41:16.165Z;2.325;FLEX BB BOB CHOCOLINAS 15 GR;60100644549;48406280;scrap;kg;1;1;1;1;1;1
2024-07-06T08:43:36.090Z;34.25;BOM BOB CHOCOLINAS 15G DESENV;50200316456;48406280;decomiso;kg;1;1;1;1;1;1
2024-07-06T08:46:42.946Z;4.41;BOM BOB CHOCOLINAS 15G DESENV;50200316456;48406280;decomiso;kg;1;1;1;1;1;1
2024-07-06T10:29:56.471Z;483;BOM BOB CHOCOLINAS 15G DESENV;402382;48406280;reproceso;kg;1;1;1;1;1;1
2024-07-06T15:11:20.718Z;318;BOM BOB LECHE 15G ENV URUGUAY;50200224215;48454510;decomiso;kg;1;1;1;1;1;1
2024-07-06T15:40:07.856Z;10.78;BOM BOB CHOCOLINAS 15G DESENV;50200316456;48406280;decomiso;kg;1;1;1;1;1;1
2024-07-06T16:01:18.438Z;5.96;BOM BOB CHOCOLINAS 15G DESENV;50200316456;48406280;decomiso;kg;1;1;1;1;1;1
2024-07-06T17:18:17.043Z;337;OBLEA COCIDA BOBCHOCOLINA RELL;402382;48406280;reproceso;kg;1;1;1;1;1;1
2024-07-12T14:44:02.915Z;1.25;BOM. BOB BLANCO 15G DESENV;50200316861;48887092;decomiso;kg;1;1;1;1;1;1
2024-07-15T18:38:07.330Z;1;COMPOUN BOB BLANCO-CBE;50200619055;48887092;decomiso;kg;1;1;1;1;1;1
2024-07-22T19:36:56.757Z;34.975;CH BLANCO P/OBL Y ALFAJ;50200524381;48454463;decomiso;kg;1;1;1;1;1;1
2024-07-22T20:05:46.467Z;624;RELL ALF BON O BON -LOW TRANS;9706;48034060;reproceso;kg;1;1;1;1;1;1
2024-07-22T20:08:54.555Z;137;COMPOUN BOB BLANCO-CBE;50200619055;48454463;decomiso;kg;1;1;1;1;1;1
2024-07-23T00:24:56.555Z;0.975;FLEX BON O BON COCO 15 GR;60100648969;48454463;scrap;kg;1;1;1;1;1;1
2024-07-23T00:25:51.252Z;28.28;BON O BON COCO X15G DESENV;50200324277;48454463;decomiso;kg;1;1;1;1;1;1
2024-07-23T08:19:52.094Z;23.65;DISP BON O BON COCO 270 GR;61200211394;48454463;scrap;kg;1;1;1;1;1;1
2024-07-23T08:22:39.099Z;3.075;FLEX BON O BON COCO 15 GR;60100648969;48454463;scrap;kg;1;1;1;1;1;1
2024-07-23T08:37:37.718Z;41.7;BON O BON COCO X15G DESENV;50200324277;48454463;decomiso;kg;1;1;1;1;1;1
2024-07-23T16:20:14.366Z;0;DISP BON O BON COCO 270 GR;61200211394;48454463;scrap;kg;1;1;1;1;1;1
2024-07-23T16:23:41.343Z;4.45;FLEX BON O BON COCO 15 GR;60100648969;48454463;scrap;kg;1;1;1;1;1;1
2024-07-23T16:25:08.946Z;45.77;BON O BON COCO X15G DESENV;50200324277;48454463;decomiso;kg;1;1;1;1;1;1
2024-07-23T21:01:04.358Z;1.175;FLEX BON O BON COCO 15 GR;60100648969;48454463;scrap;kg;1;1;1;1;1;1
2024-07-23T21:01:53.957Z;13.73;BON O BON COCO X15G DESENV;50200324277;48454463;decomiso;kg;1;1;1;1;1;1
2024-07-23T21:04:20.473Z;15.225;DISP BON O BON COCO 270 GR;61200211394;48454463;scrap;kg;1;1;1;1;1;1
2024-07-23T21:09:00.759Z;3.31;BON O BON COCO X15G DESENV;50200324277;48454463;decomiso;kg;1;1;1;1;1;1
2024-07-23T21:13:02.221Z;50.3;BON O BON COCO X15G DESENV;50200324277;48454463;decomiso;kg;1;1;1;1;1;1
2024-07-24T08:19:44.344Z;13.225;DISP BB BOB BLANCO 270 GR;61200210396;48034055;scrap;kg;1;1;1;1;1;1
2024-07-24T08:25:35.060Z;2.025;FLEX BB BOB BLANCO 15 GR;60100644550;48034055;scrap;kg;1;1;1;1;1;1
2024-07-24T08:26:37.813Z;35.85;BOM. BOB BLANCO 15G DESENV;50200316861;48034055;decomiso;kg;1;1;1;1;1;1
2024-07-24T15:53:55.993Z;0;BON O BON COCO X15G ENVUELTO;50200224276;48454463;decomiso;kg;1;1;1;1;1;1
2024-07-24T16:22:14.793Z;0;DISPL BOB?BCO 30X15G UE 2023;61200210989;48984330;scrap;kg;1;1;1;1;1;1
2024-07-24T16:32:32.042Z;49.41;BOM. BOB BLANCO 15G DESENV-UE;50200321525;48984330;decomiso;kg;1;1;1;1;1;1
2024-07-24T16:33:00.973Z;21.73;BOM. BOB BLANCO 15G DESENV-UE;50200321525;48984330;decomiso;kg;1;1;1;1;1;1
2024-07-24T16:33:34.581Z;4.8;FLEX BOB BCO 15G UE - ARALI;60100644934;48984330;scrap;kg;1;1;1;1;1;1
2024-07-25T00:20:04.936Z;3.325;FLEX BOB BCO 15G UE - ARALI;60100644934;48984330;scrap;kg;1;1;1;1;1;1
2024-07-25T00:20:18.729Z;3.325;FLEX BOB BCO 15G UE - ARALI;60100644934;48984330;scrap;kg;1;1;1;1;1;1
2024-07-25T00:21:13.786Z;32.78;BOM. BOB BLANCO 15G DESENV-UE;50200321525;48984330;decomiso;kg;1;1;1;1;1;1
2024-07-25T00:43:11.010Z;8.28;BOM. BOB BLANCO 15G DESENV;50200316861;48036824;decomiso;kg;1;1;1;1;1;1
2024-07-25T02:34:16.588Z;734;OBLEA COCIDA BOB RELLENA MANI;9706;48036824;reproceso;kg;1;1;1;1;1;1
2024-07-25T08:14:46.820Z;14.025;DISPLAY BOM BOB BLANCO 30X15G;61200207986;48036824;scrap;kg;1;1;1;1;1;1
2024-07-25T08:33:24.089Z;3.225;FLEX.BOB BLANCO 15GR P.JUST-CG;60100641300;48036824;scrap;kg;1;1;1;1;1;1
2024-07-25T08:35:09.840Z;37.09;BOM. BOB BLANCO 15G DESENV;50200316861;48036824;decomiso;kg;1;1;1;1;1;1
2024-07-25T08:43:25.017Z;9.91;BOM. BOB BLANCO 15G DESENV;50200316861;48036824;decomiso;kg;1;1;1;1;1;1
2024-07-25T09:49:55.751Z;480;BOM. BOB BLANCO 15G DESENV;9706;48036824;reproceso;kg;1;1;1;1;1;1
2024-07-25T09:58:08.157Z;387;OBLEA COCIDA BOB RELLENA MANI;9706;48036824;reproceso;kg;1;1;1;1;1;1
2024-07-25T10:56:16.377Z;0.975;FLEX BOB BCO 15G UE - ARALI;60100644934;48984330;scrap;kg;1;1;1;1;1;1
2024-07-25T10:57:34.819Z;13.65;BOM. BOB BLANCO 15G DESENV-UE;50200321525;48984330;decomiso;kg;1;1;1;1;1;1
2024-07-25T11:30:26.508Z;110;BOM. BOB BLANCO 15G DESENV;9706;48036824;reproceso;kg;1;1;1;1;1;1
2024-07-25T16:14:59.857Z;1.8;FLEXBLE BOB LECHE 15G?MENSAJES;60100641668;48159707;scrap;kg;1;1;1;1;1;1
2024-07-25T16:16:36.692Z;11.83;BOM. BOB LECHE 15G DESENV;50200316860;48159707;decomiso;kg;1;1;1;1;1;1
2024-07-25T16:17:15.621Z;6.81;BOM. BOB BLANCO 15G DESENV-UE;50200321525;48984330;decomiso;kg;1;1;1;1;1;1
2024-07-26T00:31:09.414Z;2.025;FLEXBLE BOB LECHE 15G?MENSAJES;60100641668;48159707;scrap;kg;1;1;1;1;1;1
2024-07-26T00:32:07.044Z;36.99;BOM. BOB LECHE 15G DESENV;50200316860;48159707;decomiso;kg;1;1;1;1;1;1
2024-07-26T08:05:48.657Z;4.125;FLEXBLE BOB LECHE 15G?MENSAJES;60100641668;48159707;scrap;kg;1;1;1;1;1;1
2024-07-26T08:10:12.504Z;8.225;DISPL BOB LECHE 450G PERU-20;61200209211;48159707;scrap;kg;1;1;1;1;1;1
2024-07-26T08:24:36.296Z;21.48;BOM. BOB LECHE 15G DESENV;50200316860;48159707;decomiso;kg;1;1;1;1;1;1
2024-07-26T11:04:41.936Z;358;OBLEA COCIDA BOB RELLENA MANI;9706;48159707;reproceso;kg;1;1;1;1;1;1
2024-07-26T14:11:25.914Z;407.3;BOM BOB BCO 15G-EURO ENVUEL;50200217529;48984330;decomiso;kg;1;1;1;1;1;1
2024-07-26T16:24:25.747Z;0;DISPL BOB LECHE 450G PERU-20;61200209211;48159707;scrap;kg;1;1;1;1;1;1
2024-07-26T16:28:00.165Z;3.55;FLEXBLE BOB LECHE 15G?MENSAJES;60100641668;48159707;scrap;kg;1;1;1;1;1;1
2024-07-26T16:28:51.281Z;22.84;BOM. BOB LECHE 15G DESENV;50200316860;48159707;decomiso;kg;1;1;1;1;1;1
2024-07-27T00:27:31.701Z;2.675;FLEX BOB BCO 15G UE - ARALI;60100644934;48984330;scrap;kg;1;1;1;1;1;1
2024-07-27T00:28:27.066Z;24.09;BOM. BOB LECHE 15G DESENV;50200316860;48036815;decomiso;kg;1;1;1;1;1;1
2024-07-27T03:53:22.461Z;482;BOM. BOB LECHE 15G DESENV;9705;48036815;reproceso;kg;1;1;1;1;1;1
2024-07-27T08:43:52.552Z;3.925;FLEXBLE BOB LECHE 15G?MENSAJES;60100641668;48036815;scrap;kg;1;1;1;1;1;1
2024-07-27T08:45:17.733Z;26.68;BOM. BOB LECHE 15G DESENV;50200316860;48036815;decomiso;kg;1;1;1;1;1;1
2024-07-27T08:46:19.300Z;115.075;BOM. BOB LECHE 15G DESENV;9705;48036815;reproceso;kg;1;1;1;1;1;1
2024-07-27T10:19:47.993Z;328;OBLEA COCIDA BOB RELLENA MANI;9706;48036815;reproceso;kg;1;1;1;1;1;1
2024-07-27T10:21:25.839Z;386;OBLEA COCIDA BOB RELLENA MANI;9706;48036815;reproceso;kg;1;1;1;1;1;1
2024-07-27T13:40:20.341Z;4.2;COCO RALLADO FINO;70600400010;48454463;decomiso;kg;1;1;1;1;1;1
2024-07-27T13:41:42.875Z;131.1;RELLENO BOB COCO;50200724280;48454463;decomiso;kg;1;1;1;1;1;1
2024-07-27T13:47:28.917Z;53.4;BOM. BOB LECHE 15G DESENV;50200316860;48036815;decomiso;kg;1;1;1;1;1;1
2024-07-27T15:35:43.701Z;20.74;BOMB BONOBON LECHE 1?B?O(15G);50200316768;48036815;decomiso;kg;1;1;1;1;1;1
2024-07-27T15:59:10.507Z;5.66;BOM. BOB LECHE 15G DESENV;50200316860;48036815;decomiso;kg;1;1;1;1;1;1
2024-07-27T16:30:26.624Z;10;OBLEA COCIDA BOB RELLENA MANI;50200316769;48036815;decomiso;kg;1;1;1;1;1;1
